"r","L_centered","L_lo","L_hi","Label","Modality"
818.181818181818,461.66322386833,-7.4893866930114,8.09183102738643,"Bx4","RNA"
828.282828282828,460.735403296481,-7.16734136942614,8.29670377735818,"Bx4","RNA"
838.383838383838,459.995222154655,-7.51657198889325,8.5434689679638,"Bx4","RNA"
848.484848484848,459.445507105922,-7.33133534787055,8.35350891300209,"Bx4","RNA"
858.585858585859,459.197447341735,-7.64691812897559,8.45021165800324,"Bx4","RNA"
868.686868686869,458.831522320674,-7.62432359853108,8.87192481624436,"Bx4","RNA"
878.787878787879,458.171062049094,-7.19235909525787,8.77966736950225,"Bx4","RNA"
888.888888888889,457.217462635768,-6.95818033349747,9.32824462858036,"Bx4","RNA"
898.989898989899,455.797346074202,-7.69732150574589,9.25076385410102,"Bx4","RNA"
909.090909090909,454.980447364508,-7.32718467426594,8.78335756378033,"Bx4","RNA"
919.191919191919,453.635404922308,-7.04079496439272,9.03588462359403,"Bx4","RNA"
929.292929292929,452.563886496004,-7.47988309154334,8.7947735206086,"Bx4","RNA"
939.393939393939,451.392922290507,-8.31537218470964,8.87791537898909,"Bx4","RNA"
949.494949494949,450.583810241537,-8.83968777333303,9.13031871734472,"Bx4","RNA"
959.59595959596,449.176639111209,-9.78768208275051,9.56956474936544,"Bx4","RNA"
969.69696969697,447.660442075672,-9.58100276116829,9.74265470967907,"Bx4","RNA"
979.79797979798,446.851331762228,-9.18148558195719,9.73766349977132,"Bx4","RNA"
989.89898989899,445.585198867232,-8.91537679205226,9.53040531835677,"Bx4","RNA"
1000,444.208127380481,-9.73994114110974,9.58076216372399,"Bx4","RNA"
0,0,0,0,"Bx2","Protein (CD3+)"
10.1010101010101,89.9193182368655,-4.74751795501566,2.68885886586953,"Bx2","Protein (CD3+)"
20.2020202020202,164.87466625954,-3.2727915848551,2.54328036368328,"Bx2","Protein (CD3+)"
30.3030303030303,225.142511826794,-3.31811899438523,3.01024117785683,"Bx2","Protein (CD3+)"
40.4040404040404,279.499509758418,-2.9764444455651,2.70467746587207,"Bx2","Protein (CD3+)"
50.5050505050505,329.93552479335,-4.18934985062481,2.5413451894407,"Bx2","Protein (CD3+)"
60.6060606060606,375.873240287257,-3.41882810940432,2.31346828222527,"Bx2","Protein (CD3+)"
70.7070707070707,418.728996243906,-4.45029779242469,3.27029120276285,"Bx2","Protein (CD3+)"
80.8080808080808,458.642409833896,-3.54259531325366,3.63774670895307,"Bx2","Protein (CD3+)"
90.9090909090909,496.763575037955,-3.4250744658905,3.7170178523611,"Bx2","Protein (CD3+)"
101.010101010101,534.169717734335,-3.08335156826762,3.21130100324142,"Bx2","Protein (CD3+)"
111.111111111111,570.649962835546,-3.35434075541268,3.86097436596521,"Bx2","Protein (CD3+)"
